,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
58,107年度金寧鄉零星四期整建工程,達盛工程顧問有限公司,睿宏營造有限公司,民國107年12月13日至108年05月24日,"6,950千元",截至108年08月底實際進度：  68.84%,
59,107年度金寧鄉零星六期整建工程,達盛工程顧問有限公司,陞驊營造有限公司,民國108年02月01日至108年09月11日,"7,296千元",截至108年08月底實際進度：  79.40%,
60,107年度金寧鄉零星七期整建工程,達盛工程顧問有限公司,上郡工程有限公司,民國108年02月13日至108年08月07日,"5,340千元",截至108年08月底實際進度：  96.49%,
61,金寧鄉東洲聚落環境美化工程,鴻邁工程顧問有限公司金門分公司,富郁營造有限公司,民國107年01月10日至107年07月18日,"8,430千元",截至108年08月底實際進度： 100.00%,
62,108年金寧鄉區排疏濬工程(開口契約),達盛工程顧問有限公司,沅順營造有限公司,民國108年04月19日至108年11月15日,"2,472千元",截至108年08月底實際進度：  89.36%,
63,金寧鄉西堡及北山出海口道路整建工程,達盛工程顧問有限公司,睿宏營造有限公司,民國108年07月09日至108年12月23日,"7,168千元",截至108年08月底實際進度：  26.83%,
64,金寧鄉堡山路周邊排水改善工程,達盛工程顧問有限公司,守信營造有限公司,民國108年01月03日至108年11月12日,"3,550千元",截至108年08月底實際進度：  81.63%,
65,108年度金寧鄉零星一期整建工程,達盛工程顧問有限公司,恆富營造有限公司,民國108年08月01日至108年11月22日,"2,989千元",截至108年08月底實際進度：   8.62%,
66,金寧鄉區域排水護岸改善應急工程,達盛工程顧問有限公司,阿里山營造有限公司,民國108年07月06日至109年02月05日,"10,682千元",截至108年08月底實際進度：   4.33%,
67,107年度金寧鄉零星五期整建工程,達盛工程顧問有限公司,鴻沂營造有限公司,民國108年01月08日至108年07月12日,"6,080千元",截至108年08月底實際進度：  99.43%,
68,金寧鄉后盤山及后沙聚落聯外道路改善工程,達盛工程顧問有限公司,紀揚營造有限公司,民國108年01月03日至108年12月26日,"8,086千元",截至108年08月底實際進度：   0.41%,
69,金寧鄉中二劃段395地號等排水改善工程,達盛工程顧問有限公司,永續土木包工業,民國108年07月19日至108年11月11日,"4,270千元",截至108年08月底實際進度：  25.61%,
70,金寧鄉108年度緊急農水路改善工程,達盛工程顧問有限公司,鼎翰營造有限公司,民國108年08月14日至108年11月08日,"3,823千元",截至108年08月底實際進度：   6.08%,
71,金寧鄉頂埔下聚落環境美化改善工程,達盛工程顧問有限公司,守信營造有限公司,民國108年01月23日至108年09月25日,"6,360千元",截至108年08月底實際進度：  96.74%,
72,金寧鄉后盤山威濟廟周邊環境改善工程,達盛工程顧問有限公司,鼎翰營造有限公司,民國108年01月02日至108年07月23日,"8,149千元",截至108年08月底實際進度： 100.00%,
73,金門大學榕園樂活跑道工程,蔡志哲建築師事務所,祐勤營造有限公司,民國108年09月02日至108年11月02日,"3,350千元",截至108年09月底實際進度：  28.46%,
74,108年度金門國家公園古寧頭區排水設施改善工程,晨揚工程顧問有限公司,明垚營造有限公司,民國108年08月02日至108年11月10日,"1,710千元",截至108年08月底實際進度：  21.43%,
75,軍事營區整修及活化再利用工程-和平園區整修工程,晨揚工程顧問有限公司,富郁營造有限公司,民國108年07月15日至108年11月11日,"4,650千元",截至108年09月底實際進度：  25.00%,
76,南山12號、19號及北山62號傳統建築修復工程,賴意升建築師事務所,閎昌營造股份有限公司,民國108年05月30日至109年08月31日,"40,850千元",截至108年09月底實際進度：  25.00%,
77,新湖漁港觀光展銷及漁業文化環境營造工程,鴻邁工程顧問有限公司金門分公司,環宇文化事業有限公司,民國108年06月01日至108年11月27日,"29,799千元",截至108年08月底實際進度：  44.26%,
78,金門航空站公共平面停車場新建工程,誠蓄工程顧問股份有限公司,旺華營造有限公司,民國107年10月10日至108年04月17日,"17,564千元",截至108年08月底實際進度： 100.00%,
79,山外公車站停車場改建平面式公眾停車場案,誠蓄工程顧問股份有限公司,道豐營造有限公司,民國107年09月15日至108年09月20日,"13,320千元",截至108年08月底實際進度：  81.10%,
80,金門縣金湖鎮衛生所新建工程,(Labor Safety And Health Personnel),阿里山營造有限公司,民國106年12月28日至109年05月05日,"49,268千元",截至108年08月底實際進度：  32.10%,陳昆豐建築師事務所
81,金門縣開瑄國小校舍及戶外運動場新建工程,水牛建築師事務所,弘邦技術股份有限公司,民國108年04月18日至110年09月01日,"276,300千元",截至108年09月底實際進度：   2.20%,水牛建築師事務所
82,正義國小無障礙校園環境改善工程,陳木壽建築師事務所,永勝自動控制股份有限公司,民國108年02月11日至108年09月05日,"2,176千元",截至108年08月底實際進度：  86.27%,
83,金湖國小體育館外牆拉皮整修工程,蔡志哲建築師事務所,力威營造有限公司,民國108年08月08日至108年10月26日,"3,500千元",截至108年08月底實際進度：  36.98%,
84,金湖國小教室鋁門窗更新工程,蔡志哲建築師事務所,博翔土木包工業有限公司,民國108年07月01日至108年08月29日,"3,000千元",截至108年08月底實際進度：  40.13%,
85,金湖國小一期校舍室內裝修工程,姜樂靜建築師事務所,上豪總合室內裝修有限公司,民國108年08月23日至108年10月21日,"23,990千元",截至108年08月底實際進度：   0.00%,
86,金門縣新湖及復國墩漁港水環境改善景觀工程,禾曜建築師事務所,泉昇營造股份有限公司,民國108年04月01日至109年03月25日,"94,230千元",截至108年08月底實際進度：  15.11%,禾曜建築師事務所
87,金門縣新湖及復國墩漁港水環境改善計畫-水岸改善及復育區建置工程,浩海工程顧問股份有限公司,尚慶營造有限公司,民國108年03月19日至109年09月08日,"148,700千元",截至108年08月底實際進度：  21.57%,浩海工程顧問股份有限公司
88,料羅港區港務消防分隊暨岸巡辦公廳舍工程-建築工程,林存城建築師事務所,阿里山營造有限公司,民國106年03月01日至107年10月16日,"39,627千元",截至108年08月底實際進度： 100.00%,
89,料羅港區港務消防分隊暨岸巡辦公廳舍工程-機電工程,林存城建築師事務所,忠勇工程有限公司,民國106年02月28日至108年04月03日,"8,244千元",截至108年08月底實際進度： 100.00%,
90,料羅港外港區增設碼頭及外廓設施改善工程,台灣世曦工程顧問股份有限公司,三聯發工程有限公司,民國105年05月26日至108年04月26日,"365,400千元",截至108年08月底實際進度：  95.66%,台灣世曦工程顧問股份有限公司
91,太湖污水系統新增污水抽水總站及壓力管線含改善等工程,黎明工程顧問股份有限公司,尚慶營造有限公司,民國106年08月14日至108年12月14日,"49,500千元",截至108年09月底實際進度：(未填)%,黎明工程顧問股份有限公司
92,金門縣有機農業集團栽培區基礎環境改善工程,思考工程顧問公司,高邦營造有限公司,民國108年01月10日至108年09月30日,"42,400千元",截至108年08月底實際進度：  74.72%,
93,金湖鎮太湖路道路拓寬改善第二期工程,達盛工程顧問有限公司,亞郁營造有限公司,民國107年10月26日至109年01月08日,"105,500千元",截至108年08月底實際進度：  18.65%,達盛工程顧問有限公司
94,金湖鎮尚義機場遮陽棚新建工程,達盛工程顧問有限公司,鑫富營造有限公司,民國107年07月12日至108年08月30日,"8,400千元",截至108年09月底實際進度：  98.00%,
95,金門縣金湖托育中心興建工程,達盛工程顧問有限公司,富韋營造有限公司,民國108年02月01日至108年11月29日,"14,880千元",截至108年08月底實際進度：   0.00%,
96,金湖鎮塔后宗祠周邊環境改善工程,達盛工程顧問有限公司,興洪營造有限公司,民國107年03月02日至109年04月30日,"3,274千元",截至108年08月底實際進度： 100.00%,
97,108年度金湖零星工程(開口契約),達盛工程顧問有限公司,和信土木包工業(金門縣),民國108年03月25日至108年12月31日,"3,700千元",截至108年08月底實際進度：  56.70%,
98,司法園區至環島北路道路工程,達盛工程顧問有限公司,亞郁營造有限公司,民國106年12月01日至108年10月10日,"43,760千元",截至108年08月底實際進度：   2.40%,
99,108年度金湖鎮清淤改善工程(開口契約),達盛工程顧問有限公司,建將土木包工業,民國108年04月22日至108年11月15日,"4,450千元",截至108年08月底實際進度：  50.87%,
100,107年度金湖鎮農田排水改善工程,達盛工程顧問有限公司,利泰億營造有限公司,民國108年01月11日至108年07月10日,"2,676千元",截至108年08月底實際進度： 100.00%,
101,金湖鎮溪邊順境宮周邊環境改善第二期工程,達盛工程顧問有限公司,旺華營造有限公司,民國108年02月15日至108年08月23日,"7,220千元",截至108年09月底實際進度：  16.29%,
102,金湖鎮湖前段194-1地號等處排水改善工程,達盛工程顧問有限公司,旺華營造有限公司,民國108年02月10日至108年07月19日,"2,887千元",截至108年08月底實際進度：  96.05%,
103,正義社區活動中心興建工程,達盛工程顧問有限公司,皇城國際開發營造有限公司,民國107年09月01日至108年06月27日,"12,495千元",截至108年08月底實際進度： 100.00%,
104,金湖鎮金湖國民小學附設幼兒園大樓拆除工程,達盛工程顧問有限公司,鉦元營造有限公司,民國108年08月02日至108年10月05日,"2,244千元",截至108年08月底實際進度：  42.60%,
105,108年度金湖鎮頹屋危屋處理作業工程,達盛工程顧問有限公司,旺華營造有限公司,民國108年08月19日至109年01月08日,"3,880千元",截至108年09月底實際進度：  30.55%,
106,料羅里農塘改善及蓮庵里公園營造工程,達盛工程顧問有限公司,旺華營造有限公司,民國108年07月29日至108年12月31日,"6,810千元",截至108年08月底實際進度：  19.09%,
107,金湖鎮蓮庵里周邊基礎設施及排水改善工程,達盛工程顧問有限公司,尚燁營造有限公司,民國108年07月16日至108年11月20日,"5,150千元",截至108年09月底實際進度：  31.04%,
108,金湖鎮羅神父紀念公園等照明改善工程,達盛工程顧問有限公司,金尚工程企業有限公司,民國108年08月01日至108年10月17日,865千元,截至108年08月底實際進度：  11.80%,
109,金湖鎮南雄聚落遊具設施及地坪排水改善工程,達盛工程顧問有限公司,岩輝營造有限公司,民國108年07月15日至108年11月05日,"2,570千元",截至108年08月底實際進度：  14.70%,
110,金湖鎮新頭伍德宮觀景及展演平台工程,達盛工程顧問有限公司,富韋營造有限公司,民國107年04月16日至108年04月22日,"8,833千元",截至108年08月底實際進度： 100.00%,
111,新市社區活動中心興建工程,達盛工程顧問有限公司,富韋營造有限公司,民國107年08月02日至108年08月09日,"12,740千元",截至108年08月底實際進度： 100.00%,
112,金門縣金湖社區福利大樓興建工程,達盛工程顧問有限公司,阿里山營造有限公司,民國107年08月21日至108年07月25日,"19,759千元",截至108年08月底實際進度：  81.54%,
113,金湖鎮復國墩營區活化再利用工程,達盛工程顧問有限公司,旺華營造有限公司,民國106年10月30日至107年10月18日,"4,128千元",截至108年08月底實際進度：  87.39%,
114,埕下營區動物收容中心整修工程,達盛工程顧問有限公司,昌陞營造有限公司,民國107年09月06日至108年11月01日,"9,080千元",截至108年08月底實際進度：  19.96%,
115,新市里中正路等騎樓整平工程,達盛工程顧問有限公司,和信土木包工業(金門縣),民國107年10月12日至108年08月15日,"2,467千元",截至108年08月底實際進度：  83.40%,
116,金湖鎮鵲山教練場訓練設施改善工程,達盛工程顧問有限公司,鉦元營造有限公司,民國108年01月02日至108年12月20日,"5,686千元",截至108年08月底實際進度：  68.61%,
117,107年新塘垃圾衛生掩埋場改善工程,達盛工程顧問有限公司,鉦元營造有限公司,民國107年11月20日至108年05月20日,"4,101千元",截至108年08月底實際進度： 100.00%,
118,后壟溪排水工程,達盛工程顧問有限公司,富郁營造有限公司,民國107年12月06日至108年12月31日,"12,430千元",截至108年08月底實際進度：  69.00%,
119,108年度金湖鎮雜項工程,達盛工程顧問有限公司,利泰億營造有限公司,民國108年06月06日至108年11月13日,"5,376千元",截至108年09月底實際進度：  59.10%,
120,(Expected Benefits),台灣世曦工程顧問股份有限公司,禾宏營造股份有限公司,民國107年09月30日至108年12月28日,"328,000千元",截至108年09月底實際進度：  86.73%,台灣世曦工程顧問股份有限公司
121,農業水產教育館興建工程,陳嘉晉建築師事務所,德庚營造有限公司,民國108年04月12日至109年08月10日,"73,000千元",截至108年08月底實際進度：  25.07%,陳嘉晉建築師事務所
122,餐廳裝修及環境改善工程,方光群建築師事務所,鑫富營造有限公司,民國108年07月23日至109年01月18日,"8,040千元",截至108年08月底實際進度：  10.25%,
123,養殖場室外養殖池整建工程,邱建興建築師事務所,萬成營造有限公司,民國108年01月11日至108年11月09日,"4,223千元",截至108年08月底實際進度：   0.30%,
124,東山等5處營區電力整修,陸軍司令部,太武科技電檢股份有限公司,民國108年07月10日至108年09月29日,"4,677千元",截至108年08月底實際進度：  66.80%,
125,W103-SW001軍事營區土壤及地下水汙染場址整治工程,國防部陸軍司令部,台境企業有限公司,民國106年10月04日至108年06月25日,"25,000千元",截至108年08月底實際進度： 100.00%,
126,鑑潭山莊整修工程,陸軍金門防衛指揮部,溫柱營造有限公司,民國108年07月19日至108年10月16日,"4,646千元",截至108年08月底實際進度：  49.00%,
127,長江營區地坪暨鋼棚整建工程,國防部陸軍司令部,力威營造有限公司,民國108年02月20日至108年08月09日,"3,480千元",截至108年09月底實際進度： 100.00%,
128,既有建築節能改善擴大計畫補助─外遮陽及戶外遮棚工程,陳啟明建築師事務所(台南市),宏田營造有限公司,民國108年07月12日至108年09月09日,"5,177千元",截至108年08月底實際進度：  85.00%,
129,博物館中庭設施及休憩空間改善工程,彩舍室內裝修設計有限公司,兆輝營造有限公司,民國108年01月25日至108年08月04日,"2,580千元",截至108年08月底實際進度：  99.00%,
130,園區暨博物館內外景觀藝術美化工程,方光群建築師事務所,工祿吉營造有限公司,民國108年01月03日至108年08月08日,"3,700千元",截至108年08月底實際進度： 100.00%,
131,獅山砲陣地坑內景點旅遊中心修繕修復工程,潘天壹建築師事務所,明垚營造有限公司,民國108年05月27日至108年08月24日,"5,210千元",截至108年08月底實際進度：  99.34%,
132,鵲山營區新建工程,竇國昌建築師事務所,岩輝營造有限公司,民國107年11月28日至109年11月07日,"145,890千元",截至108年08月底實際進度：   6.97%,竇國昌建築師事務所
133,金門縣金沙鎮衛生所新建工程,陳昆豐建築師事務所,富鋒營造有限公司,民國108年03月13日至109年07月22日,"44,000千元",截至108年09月底實際進度：  15.42%,
134,金沙溪流域水環境改善(第一期),崇峻工程顧問有限公司,岩輝營造有限公司,民國107年02月23日至108年08月14日,"34,100千元",截至108年08月底實際進度：  91.78%,
135,金門縣金沙鎮安瀾國民小學中棟教學大樓拆除重建工程,竇國昌建築師事務所,恆富營造有限公司,民國107年05月02日至108年05月31日,"60,880千元",截至108年08月底實際進度： 100.00%,竇國昌建築師事務所
136,金沙鎮和平街4號傳統建築物修復工程,許義翔建築師事務所,益晟土木包工業(金門縣),民國107年07月13日至108年09月28日,"3,465千元",截至108年09月底實際進度：  54.58%,
137,金沙鎮官澳15號傳統建築物修復工程,陳勝川建築師事務所,嘉錦營造有限公司,民國108年02月25日至109年04月19日,"14,970千元",截至108年09月底實際進度：  17.73%,
138,金沙鎮新前墩5、8號傳統建築物修復工程,許義翔建築師事務所,阿里山營造有限公司,民國108年05月06日至109年04月29日,"14,193千元",截至108年09月底實際進度：   5.35%,
139,金沙鎮新前墩7號傳統建築物修復工程,許義翔建築師事務所,工祿吉營造有限公司,民國107年09月19日至108年06月05日,"7,046千元",截至108年09月底實際進度：  99.25%,
140,金門縣污泥減量乾燥設備統包工程,技佳工程顧問有限公司,惠民實業股份有限公司,民國108年06月15日至109年03月14日,"45,313千元",截至108年09月底實際進度：   0.20%,
141,擎天水庫周邊設施及蓄水範圍邊坡等改善工程,巨廷工程顧問股份有限公司,旺華營造有限公司,民國108年08月12日至109年01月09日,"6,680千元",截至108年09月底實際進度：  19.07%,
142,洋山淨水場、擎天配水池送水管新建工程,永力工程顧問有限公司,巨鵬水電工程有限公司,民國108年06月19日至108年11月15日,"30,830千元",截至108年09月底實際進度：  49.88%,
143,洋山淨水場新建工程,艾奕康工程顧問股份有限公司,真毅營造有限公司,民國106年07月15日至109年01月16日,"385,310千元",截至108年09月底實際進度：  80.48%,艾奕康工程顧問股份有限公司
144,森林生態導覽館新建工程,宏矩建築師事務所,陞驊營造有限公司,民國108年03月05日至108年09月20日,"10,648千元",截至108年08月底實際進度：  24.46%,
145,金門縣林務所配電改善工程,同成電機計師事務所,忠勇工程有限公司,民國108年09月04日至108年11月17日,"3,680千元",截至年月底實際進度：(未填)%,
146,金門縣林務所107年度園區整修工程,漢鑫技術顧問有限公司,金中理營造股份有限公司,民國108年01月04日至108年09月04日,"14,868千元",截至108年09月底實際進度： 100.00%,
147,金門縣歷史建築何氏洋樓修繕暨活化工程,陳啟明建築師事務所(台中市),閎昌營造股份有限公司,民國108年02月13日至108年12月31日,"9,200千元",截至108年08月底實際進度：  59.63%,
148,金門縣定古蹟大地吳心泉宅修復工程,陳啟明建築師事務所(台南市),現代營造股份有限公司,民國108年03月11日至109年08月31日,"21,720千元",截至108年08月底實際進度：  11.35%,
